EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,TimeElapsed,loss_kl,ev_tdlam_before,loss_pol_surr,EpLenMean,TimestepsSoFar,EpThisIter,loss_pol_entpen
7,0.0206126,2.071803,-4.857142857142857,4.225261926651001,0.007527344,0.5563775599002838,-0.009331198,538.7142857142857,4096,7,0.0
14,0.028203186,2.0680766,-4.928571428571429,8.581750631332397,0.0061279815,0.7316921353340149,-0.009128097,578.1428571428571,8192,7,0.0
21,0.016269779,2.0615182,-4.9523809523809526,13.244221687316895,0.0066723097,0.8355569094419479,-0.009050044,554.1904761904761,12288,7,0.0
28,0.01991822,2.045614,-4.928571428571429,17.825151443481445,0.0075076185,0.7823000848293304,-0.01116012,581.1071428571429,16384,7,0.0
35,0.019286884,2.0308049,-4.914285714285715,21.679551601409912,0.0075536193,0.730320930480957,-0.010676725,582.2285714285714,20480,7,0.0
41,0.015041095,2.0215962,-4.926829268292683,25.449676990509033,0.0065228716,0.8187164664268494,-0.008949632,578.9756097560976,24576,6,0.0
48,0.015397328,2.0233548,-4.916666666666667,29.405611276626587,0.006466236,0.7890676409006119,-0.0089715915,590.0416666666666,28672,7,0.0
55,0.015623206,2.0126092,-4.927272727272728,33.245656967163086,0.005772515,0.8229883015155792,-0.010035375,587.5272727272727,32768,7,0.0
62,0.0276451,1.9909664,-4.887096774193548,37.037362575531006,0.007836749,0.7047823965549469,-0.011904832,590.1129032258065,36864,7,0.0
68,0.019487713,1.9932592,-4.882352941176471,40.929818868637085,0.0056148306,0.7757053673267365,-0.009481328,599.4264705882352,40960,6,0.0
75,0.014316949,1.9824004,-4.8933333333333335,45.37879037857056,0.0067458246,0.8327116817235947,-0.010716259,597.48,45056,7,0.0
81,0.016507056,1.9739529,-4.864197530864198,50.139790773391724,0.0071691275,0.785416767001152,-0.011353823,606.4320987654321,49152,6,0.0
87,0.021517817,1.980378,-4.827586206896552,54.21198606491089,0.008103981,0.7835521399974823,-0.012469102,611.1724137931035,53248,6,0.0
93,0.014082385,1.9553835,-4.827956989247312,58.16714262962341,0.006477801,0.8567298650741577,-0.012821216,613.7741935483871,57344,6,0.0
99,0.013221242,1.9536428,-4.838383838383838,62.2831711769104,0.00814813,0.8571197688579559,-0.013137145,615.1717171717172,61440,6,0.0
106,0.0143444445,1.9302994,-4.85,66.34573411941528,0.0073293913,0.8363271206617355,-0.013067569,619.45,65536,7,0.0
113,0.014606477,1.9043947,-4.83,70.37733817100525,0.0071775992,0.8245623260736465,-0.011708222,619.75,69632,7,0.0
119,0.014227901,1.8817168,-4.83,74.60882306098938,0.008528745,0.8345428109169006,-0.013410382,630.45,73728,6,0.0
125,0.01203145,1.8702646,-4.83,79.169602394104,0.0069760983,0.8570432960987091,-0.0120638,633.52,77824,6,0.0
